Code,Name,Units,Section,Schedule
CS101,Introduction to Computer Systems,2,A121,07:00-08:00 (R101) Monday/Wednesday
CS101,Introduction to Computer Systems,2,A122,07:00-08:00 (R102) Tuesday/Thursday
CS101,Introduction to Computer Systems,2,A123,07:00-08:00 (R103) Friday/Saturday
CS101L,Introduction to Computer Systems (Lab),1,A121,08:00-09:00 (R101) Monday
CS101L,Introduction to Computer Systems (Lab),1,A122,08:00-09:00 (R102) Tuesday
CS101L,Introduction to Computer Systems (Lab),1,A123,08:00-09:00 (R103) Friday
MATH021,College Mathematics,3,A121,09:00-10:00 (R101) Tuesday/Thursday/Saturday
MATH021,College Mathematics,3,A122,09:00-10:00 (R103) Monday/Wednesday/Friday
MATH021,College Mathematics,3,A123,09:00-10:00 (R104) Tuesday/Thursday/Friday
ENG023,Receptive Communication Skills,3,A121,10:00-11:00 (R102) Tuesday/Thursday/Saturday
ENG023,Receptive Communication Skills,3,A122,10:00-11:00 (R104) Monday/Wednesday/Friday
ENG023,Receptive Communication Skills,3,A123,10:00-11:00 (R101) Tuesday/Thursday/Friday
SS021,Understanding the Self,3,A121,11:00-12:00 (R102) Monday/Wednesday/Friday
SS021,Understanding the Self,3,A122,11:00-12:00 (R101) Tuesday/Thursday/Saturday
SS021,Understanding the Self,3,A123,11:00-12:00 (R103) Monday/Wednesday/Saturday
HUM034,Art Appreciation,3,A121,13:00-14:00 (R103) Monday/Wednesday/Friday
HUM034,Art Appreciation,3,A122,13:00-14:00 (R102) Tuesday/Thursday/Saturday
HUM034,Art Appreciation,3,A123,13:00-14:00 (R104) Monday/Wednesday/Saturday
PE001,Physical Activities Toward Health and Fitness 1,2,A121,14:00-15:00 (R103) Tuesday/Thursday
PE001,Physical Activities Toward Health and Fitness 1,2,A122,14:00-15:00 (R103) Monday/Wednesday
PE001,Physical Activities Toward Health and Fitness 1,2,A123,14:00-15:00 (R101) Friday/Saturday
NSTP010,National Service Training Program 1,3,A121,15:00-16:00 (R104) Monday/Wednesday/Friday
NSTP010,National Service Training Program 1,3,A122,15:00-16:00 (R104) Tuesday/Thursday/Saturday
NSTP010,National Service Training Program 1,3,A123,15:00-16:00 (R102) Monday/Wednesday/Saturday
VE021,Life Coaching Series 1,1,A121,16:00-17:00 (R104) Monday
VE021,Life Coaching Series 1,1,A122,16:00-17:00 (R101) Tuesday
VE021,Life Coaching Series 1,1,A123,16:00-17:00 (R102) Monday
